id,abb,bby,van,sur,rmd,bedrooms,bathrooms,lotSize,builtYear,actualValue
1,1,0,0,0,0,5,4,8712,1973,1349000
2,0,1,0,0,0,10,8,6098,2012,2498000
3,0,0,1,0,0,4,5,3484,1995,1999888
4,0,0,0,0,1,4,3,3920,1994,1498000
5,0,0,1,0,0,7,4,3920,1969,1990000
6,0,0,0,0,1,5,6,8712,2003,1518000
7,1,0,0,0,0,5,3,6534,1979,1280000
8,0,0,0,1,0,4,4,6969,1988,1399999
9,0,0,0,1,0,3,2,3920,1977,1450000
10,0,1,0,0,0,5,3,3920,2016,2290000
11,0,0,0,0,1,6,5,8276,1997,2490000
12,1,0,0,0,0,4,3,7405,1986,1249000
13,0,1,0,0,0,6,2,6534,1954,1999900
14,0,0,1,0,0,4,3,3049,1910,1399000
15,0,1,0,0,0,9,5,6098,1993,2480000
16,0,0,0,1,0,5,4,3049,2018,1588000
17,0,0,1,0,0,9,7,3920,2018,3298000
18,0,0,0,1,0,4,3,6098,1980,1499999
19,1,0,0,0,0,3,2,8276,1964,1299999
20,0,0,0,0,1,3,3,3920,1980,1588000
21,0,1,0,0,0,4,3,6969,1976,2498800
22,0,1,0,0,0,5,4,4791,1987,1780000
23,0,0,1,0,0,6,6,4356,2006,1990000
24,0,0,1,0,0,5,2,3920,1956,2250000
25,0,0,0,0,1,6,6,4356,2010,2199000
26,0,0,0,0,1,4,4,3920,1990,1550000
27,0,0,0,1,0,4,3,7405,1975,1499000
28,0,0,0,1,0,6,5,7840,1998,1788000
29,1,0,0,0,0,5,3,6969,1979,1229000
30,1,0,0,0,0,4,3,7405,1991,1299900
31,0,1,0,0,0,4,3,13939,1956,2680000
32,0,1,0,0,0,4,3,6534,1966,2288000
33,0,0,1,0,0,5,3,3484,1979,1798000
34,0,0,1,0,0,6,4,4356,2007,2288000
35,0,0,0,0,1,4,6,6969,2013,2920000
36,0,0,0,0,1,4,3,3920,1979,1499000
37,0,0,0,1,0,4,3,10018,1983,2150000
38,0,0,0,1,0,6,5,6534,2007,2700000
39,1,0,0,0,0,4,3,8712,1975,1699000
40,1,0,0,0,0,3,2,10454,1955,1289900
